year,state,chapter,yearly_total
1999,HARYANA,South East Florida,250.0
2000,HARYANA,Seattle,2500.0
2001,HARYANA,Seattle,5700.0
2002,HARYANA,Seattle,4200.0
2003,HARYANA,Seattle,1900.0
2004,HARYANA,Seattle,2145.0
2005,HARYANA,Dallas,5000.0
2005,HARYANA,Dallas,2300.0
2005,HARYANA,UIUC,3500.0
2005,HARYANA,Seattle,2145.0
2007,HARYANA,Dallas,6330.0
2008,HARYANA,Cincinnati,1180.0
2008,HARYANA,Dallas,5000.0
2008,HARYANA,Austin,5000.0
2008,HARYANA,Work an Hour,19590.0
2009,HARYANA,Dallas,10125.0
2009,HARYANA,Cincinnati,2131.0
2009,HARYANA,Austin,12520.0
2010,HARYANA,Austin,13865.0
2011,HARYANA,Austin,1765.0
2012,HARYANA,Austin,15150.0
2013,HARYANA,Dallas,9058.0
2015,HARYANA,Dallas,9756.0
2016,HARYANA,Austin,0.0
2016,HARYANA,Dallas,10806.0
2017,HARYANA,Austin,23055.0
2018,HARYANA,Dallas,11538.0
2018,HARYANA,Austin,17557.0
2019,HARYANA,Dallas,14584.0
2019,HARYANA,Austin,15436.0
2020,HARYANA,Dallas,13814.0
2020,HARYANA,Austin,22756.0
2021,HARYANA,Austin,24928.0
2021,HARYANA,Dallas,22406.0
2022,HARYANA,Austin,25242.0
2022,HARYANA,Dallas,18493.0
2023,HARYANA,Dallas,18315.0
2024,HARYANA,Dallas,20468.0
2025,HARYANA,Dallas,8512.0
2003,JAMMU AND KASHMIR,Stanford,2000.0
2003,JAMMU AND KASHMIR,Los Angeles,2000.0
2004,JAMMU AND KASHMIR,NYC/NJ,4000.0
2005,JAMMU AND KASHMIR,NYC/NJ,4400.0
2005,JAMMU AND KASHMIR,Los Angeles,1500.0
2006,JAMMU AND KASHMIR,Stamford,4000.0
2006,JAMMU AND KASHMIR,NYC/NJ,4400.0
2006,JAMMU AND KASHMIR,Los Angeles,2000.0
2007,JAMMU AND KASHMIR,NYC/NJ,3600.0
2007,JAMMU AND KASHMIR,Silicon Valley,6000.0
2008,JAMMU AND KASHMIR,Los Angeles,3300.0
2008,JAMMU AND KASHMIR,Silicon Valley,12308.0
2009,JAMMU AND KASHMIR,Silicon Valley,15940.0
2010,JAMMU AND KASHMIR,Silicon Valley,23970.0
2011,JAMMU AND KASHMIR,Silicon Valley,11798.0
2012,JAMMU AND KASHMIR,Silicon Valley,10946.0
2013,JAMMU AND KASHMIR,Silicon Valley,24065.0
2014,JAMMU AND KASHMIR,Silicon Valley,57672.0
2015,JAMMU AND KASHMIR,Silicon Valley,17738.0
2016,JAMMU AND KASHMIR,Seattle,39975.0
2016,JAMMU AND KASHMIR,Stanford,60491.0
2016,JAMMU AND KASHMIR,NYC/NJ,15074.0
2017,JAMMU AND KASHMIR,Silicon Valley,62980.0
2018,JAMMU AND KASHMIR,Silicon Valley,54737.0
2019,JAMMU AND KASHMIR,Silicon Valley,54435.0
2020,JAMMU AND KASHMIR,Silicon Valley,45785.0
2021,JAMMU AND KASHMIR,Silicon Valley,31252.0
2024,JAMMU AND KASHMIR,Seattle,40936.0
1997,JHARKHAND,DC,921.0
1997,JHARKHAND,Boston,1841.0
1998,JHARKHAND,Silicon Valley,3200.0
1998,JHARKHAND,DC,1317.0
1998,JHARKHAND,Boston,2380.0
1998,JHARKHAND,Chicago,2800.0
1999,JHARKHAND,Silicon Valley,3200.0
1999,JHARKHAND,Arizona,6500.0
1999,JHARKHAND,Boston,2380.0
2000,JHARKHAND,St. Louis,781.0
2000,JHARKHAND,Boston,1500.0
2000,JHARKHAND,NYC/NJ,4500.0
2000,JHARKHAND,Athens,1500.0
2000,JHARKHAND,Indiana,2344.0
2000,JHARKHAND,St. Louis,4200.0
2000,JHARKHAND,Yale,1500.0
2000,JHARKHAND,Boston,1500.0
2000,JHARKHAND,Boston,4440.0
2001,JHARKHAND,Stanford,1500.0
2001,JHARKHAND,NYC/NJ,1500.0
2001,JHARKHAND,Boston,1600.0
2001,JHARKHAND,Stanford,2200.0
2001,JHARKHAND,Boston,1220.0
2001,JHARKHAND,Boston,1500.0
2002,JHARKHAND,Stanford,2200.0
2002,JHARKHAND,Arizona,2500.0
2002,JHARKHAND,Boston,1345.0
2002,JHARKHAND,Boston,1260.0
2003,JHARKHAND,Boston,2400.0
2003,JHARKHAND,Boston,1400.0
2003,JHARKHAND,Arizona,2500.0
2004,JHARKHAND,Stanford,4100.0
2004,JHARKHAND,Arizona,3273.0
2005,JHARKHAND,Arizona,1650.0
2005,JHARKHAND,Stanford,8200.0
2005,JHARKHAND,Boston,1329.0
2006,JHARKHAND,Arizona,1950.0
2006,JHARKHAND,Boston,2900.0
2008,JHARKHAND,Boston,8043.0
2008,JHARKHAND,Silicon Valley,9338.0
2009,JHARKHAND,Arizona,5635.0
2009,JHARKHAND,Boston,4000.0
2010,JHARKHAND,Boston,4000.0
2011,JHARKHAND,San Francisco,3130.0
2014,JHARKHAND,San Francisco,5760.0
2015,JHARKHAND,San Francisco,10244.0
2016,JHARKHAND,San Francisco,7520.0
2017,JHARKHAND,Stanford,17588.0
2017,JHARKHAND,San Francisco,9292.0
2018,JHARKHAND,Stanford,17042.0
2018,JHARKHAND,San Francisco,9133.0
2019,JHARKHAND,San Francisco,6930.0
2020,JHARKHAND,San Francisco,7743.0
2021,JHARKHAND,San Francisco,13239.0
2022,JHARKHAND,San Francisco,24174.0
2022,JHARKHAND,Austin,19986.0
2023,JHARKHAND,San Francisco,12783.0
2024,JHARKHAND,San Francisco,11943.0
2025,JHARKHAND,San Francisco,30946.0
1994,KARNATAKA,Stanford,4000.0
1994,KARNATAKA,Berkeley,1700.0
1995,KARNATAKA,Boston,1050.0
1995,KARNATAKA,Stanford,2600.0
1995,KARNATAKA,Berkeley,1700.0
1996,KARNATAKA,Berkeley,850.0
1996,KARNATAKA,Boston,1050.0
1996,KARNATAKA,Seattle,3000.0
1997,KARNATAKA,Arizona,500.0
1997,KARNATAKA,Los Angeles,4736.0
1997,KARNATAKA,Seattle,2000.0
1998,KARNATAKA,Boston,1950.0
1998,KARNATAKA,Boston,500.0
1998,KARNATAKA,Seattle,500.0
1998,KARNATAKA,Seattle,2500.0
1998,KARNATAKA,Los Angeles,1500.0
1998,KARNATAKA,Arizona,500.0
1998,KARNATAKA,NYC/NJ,2500.0
1998,KARNATAKA,St. Louis,750.0
1999,KARNATAKA,Seattle,3000.0
1999,KARNATAKA,Arizona,1000.0
1999,KARNATAKA,Seattle,2500.0
1999,KARNATAKA,Los Angeles,4948.0
1999,KARNATAKA,Seattle,1020.0
1999,KARNATAKA,Boston,500.0
1999,KARNATAKA,Berkeley,3010.0
1999,KARNATAKA,Boston,1000.0
1999,KARNATAKA,NYC/NJ,13500.0
2000,KARNATAKA,Boston,1090.0
2000,KARNATAKA,Arizona,1000.0
2000,KARNATAKA,Seattle,2600.0
2000,KARNATAKA,Chicago,5200.0
2000,KARNATAKA,Irvine,1500.0
2000,KARNATAKA,Syracuse,1920.0
2000,KARNATAKA,Cleveland,800.0
2000,KARNATAKA,Boston,1500.0
2000,KARNATAKA,Seattle,3000.0
2000,KARNATAKA,Cornell,700.0
2000,KARNATAKA,Corvallis,2200.0
2000,KARNATAKA,Silicon Valley,6000.0
2000,KARNATAKA,Seattle,4500.0
2000,KARNATAKA,Los Angeles,2100.0
2000,KARNATAKA,Seattle,1520.0
2000,KARNATAKA,Seattle,5000.0
2000,KARNATAKA,Seattle,2500.0
2000,KARNATAKA,Arizona,2268.0
2000,KARNATAKA,Berkeley,2600.0
2001,KARNATAKA,Chicago,5850.0
2001,KARNATAKA,Arizona,1000.0
2001,KARNATAKA,St. Louis,3000.0
2001,KARNATAKA,Arizona,2750.0
2001,KARNATAKA,Silicon Valley,2000.0
2001,KARNATAKA,Boston,5000.0
2001,KARNATAKA,Madison,1200.0
2001,KARNATAKA,Berkeley,4500.0
2001,KARNATAKA,Boston,3000.0
2001,KARNATAKA,Irvine,1500.0
2001,KARNATAKA,Boston,2000.0
2001,KARNATAKA,Seattle,3000.0
2001,KARNATAKA,Boston,5000.0
2001,KARNATAKA,Boston,1090.0
2001,KARNATAKA,Seattle,4000.0
2001,KARNATAKA,Work an Hour,9600.0
2001,KARNATAKA,UIUC,2030.0
2001,KARNATAKA,Syracuse,3200.0
2001,KARNATAKA,Seattle,2000.0
2001,KARNATAKA,Seattle,6940.0
2001,KARNATAKA,Seattle,4000.0
2001,KARNATAKA,NYC/NJ,4000.0
2001,KARNATAKA,Seattle,1680.0
2002,KARNATAKA,Seattle,500.0
2002,KARNATAKA,Syracuse,3814.0
2002,KARNATAKA,Chicago,5300.0
2002,KARNATAKA,Detroit,2100.0
2002,KARNATAKA,Seattle,5250.0
2002,KARNATAKA,Arizona,3500.0
2002,KARNATAKA,Seattle,2500.0
2002,KARNATAKA,Boston,1300.0
2002,KARNATAKA,Stanford,4500.0
2002,KARNATAKA,Arizona,5300.0
2002,KARNATAKA,Work an Hour,9600.0
2002,KARNATAKA,Seattle,6300.0
2002,KARNATAKA,Silicon Valley,31050.0
2002,KARNATAKA,Boston,4000.0
2002,KARNATAKA,Madison,1200.0
2002,KARNATAKA,Berkeley,3000.0
2002,KARNATAKA,Boston,1200.0
2002,KARNATAKA,Irvine,1500.0
2002,KARNATAKA,Seattle,3600.0
2002,KARNATAKA,Seattle,5016.0
2002,KARNATAKA,Boston,1500.0
2002,KARNATAKA,Detroit,3000.0
2003,KARNATAKA,Boston,1.0
2003,KARNATAKA,Corvallis,5650.0
2003,KARNATAKA,Arizona,2500.0
2003,KARNATAKA,Berkeley,1000.0
2003,KARNATAKA,Madison,1250.0
2003,KARNATAKA,Detroit,4360.0
2003,KARNATAKA,Los Angeles,3031.0
2003,KARNATAKA,Seattle,1050.0
2003,KARNATAKA,Silicon Valley,5590.0
2003,KARNATAKA,Silicon Valley,12928.0
2003,KARNATAKA,Austin,1680.0
2003,KARNATAKA,Seattle,1920.0
2003,KARNATAKA,Seattle,5300.0
2003,KARNATAKA,Seattle,2620.0
2003,KARNATAKA,Chicago,6870.0
2003,KARNATAKA,Arizona,1000.0
2003,KARNATAKA,Seattle,2442.0
2003,KARNATAKA,Seattle,3000.0
2003,KARNATAKA,Stanford,2000.0
2003,KARNATAKA,Seattle,3000.0
2003,KARNATAKA,NYC/NJ,800.0
2003,KARNATAKA,Boston,1500.0
2003,KARNATAKA,Los Angeles,2500.0
2003,KARNATAKA,Boston,1300.0
2003,KARNATAKA,Boston,2500.0
2004,KARNATAKA,CentralNJ,17000.0
2004,KARNATAKA,Colorado,3855.0
2004,KARNATAKA,Seattle,3000.0
2004,KARNATAKA,Austin,3600.0
2004,KARNATAKA,Boston,400.0
2004,KARNATAKA,Seattle,11807.0
2004,KARNATAKA,Detroit,3500.0
2004,KARNATAKA,Detroit,5000.0
2004,KARNATAKA,Seattle,1320.0
2004,KARNATAKA,Yale,501.0
2004,KARNATAKA,Chicago,2600.0
2004,KARNATAKA,Silicon Valley,11263.0
2004,KARNATAKA,Arizona,4400.0
2004,KARNATAKA,Arizona,3500.0
2004,KARNATAKA,Berkeley,2000.0
2005,KARNATAKA,Boston,1000.0
2005,KARNATAKA,Austin,3600.0
2005,KARNATAKA,Silicon Valley,18375.0
