state,year,chapter,chapter_amount
RAJASTHAN,2004,Seattle,12000.0
RAJASTHAN,2004,Work an Hour,24000.0
RAJASTHAN,2005,Austin,6132.0
RAJASTHAN,2005,Seattle,2021.0
RAJASTHAN,2006,Austin,5000.0
RAJASTHAN,2006,Cleveland,6003.0
RAJASTHAN,2006,Silicon Valley,5000.0
RAJASTHAN,2007,Atlanta,5550.0
RAJASTHAN,2007,Austin,19270.0
RAJASTHAN,2007,Cleveland,5081.0
RAJASTHAN,2007,Los Angeles,2200.0
RAJASTHAN,2007,Silicon Valley,9858.0
RAJASTHAN,2007,UIUC,4650.0
RAJASTHAN,2008,Austin,27522.0
RAJASTHAN,2008,Cleveland,2671.0
RAJASTHAN,2008,Los Angeles,1000.0
RAJASTHAN,2008,Princeton,2151.0
RAJASTHAN,2008,Silicon Valley,39021.0
RAJASTHAN,2008,Stanford,6500.0
RAJASTHAN,2008,UIUC,4289.0
RAJASTHAN,2009,Ann-Arbor,4000.0
RAJASTHAN,2009,Atlanta,2000.0
RAJASTHAN,2009,Austin,31966.0
RAJASTHAN,2009,DC,2500.0
RAJASTHAN,2009,San Francisco,4500.0
RAJASTHAN,2009,Seattle,8050.0
RAJASTHAN,2009,Silicon Valley,94715.0
RAJASTHAN,2009,UIUC,7000.0
RAJASTHAN,2009,Work an Hour,7000.0
RAJASTHAN,2010,Atlanta,4000.0
RAJASTHAN,2010,Austin,29735.0
RAJASTHAN,2010,NYC/NJ,5000.0
RAJASTHAN,2010,Portland,7945.0
RAJASTHAN,2010,San Francisco,4500.0
RAJASTHAN,2010,Seattle,10100.0
RAJASTHAN,2010,Silicon Valley,63243.0
RAJASTHAN,2010,UIUC,2250.0
RAJASTHAN,2010,Work an Hour,4478.0
RAJASTHAN,2011,Austin,7366.0
RAJASTHAN,2011,NYC/NJ,2900.0
RAJASTHAN,2011,Seattle,13750.0
RAJASTHAN,2011,Silicon Valley,52759.0
RAJASTHAN,2011,UIUC,7000.0
RAJASTHAN,2011,Work an Hour,10291.0
RAJASTHAN,2012,Austin,1758.0
