state,year,state_total_amount,state_percentage,pop_adj_units,total_amount
BIMARU,2022,4325224,22.22216296448391,0.6042079165959898,3000077.0
BIMARU,2023,4534992,24.78098981023504,0.6737809568023883,3039128.0
BIMARU,2024,490916,24.088888990000214,0.6549631308627264,879119.0
CHHATTISGARH,2006,10020,0.8144050535377854,0.38597395902264714,1230346.0
CHHATTISGARH,2007,11125,0.4787792141393293,0.22690958016081958,2323618.0
CHHATTISGARH,2010,2850,0.09395803669242656,0.04452987520968083,3033269.0
CHHATTISGARH,2019,19655,0.6004298778550586,0.28456392315405626,3273488.0
CHHATTISGARH,2020,31286,0.9653926215936168,0.4575320481486336,3240754.0
CHHATTISGARH,2021,79090,1.2136104827465988,0.5751708449036014,3258459.0
CHHATTISGARH,2022,102636,1.7105560957268764,0.8106900927615528,3000077.0
CHHATTISGARH,2023,26248,0.8636687892053246,0.40932170104517757,3039128.0
CHHATTISGARH,2024,31084,1.7679062788996713,0.8378702743600337,879119.0
DELHI,1998,15000,6.9268067420918955,4.98331420294381,108275.0
DELHI,1999,88500,4.266941808074404,3.0697423079671973,414817.0
DELHI,2000,43600,2.0621872428178176,1.4835879444732505,528565.0
DELHI,2001,78665,2.050041175428172,1.4748497664950881,767448.0
DELHI,2002,115404,2.3347389836104577,1.6796683335327036,823818.0
DELHI,2003,12700,0.6738594530808111,0.48479097343943245,942333.0
DELHI,2004,6776,0.6432510378308695,0.46277053081357516,1053399.0
DELHI,2005,45051,1.0083612668944326,0.725439760355707,1489248.0
DELHI,2006,282093,3.275420085081757,2.356417327396948,1230346.0
DELHI,2007,577575,2.761856725158782,1.9869472842868938,2323618.0
DELHI,2008,1770750,5.725701780424066,4.1192099139741485,3092634.0
DELHI,2009,1118190,4.630606253734811,3.3313714055646124,2414781.0
DELHI,2010,1184648,4.88189474787762,3.5121544948759857,3033269.0
DELHI,2011,1162539,5.60662111783449,4.033540372542799,2303901.0
DELHI,2012,275646,2.4202835789915107,1.7412112079075617,1898166.0
DELHI,2013,686070,3.8284468325959766,2.754278296831638,2560046.0
DELHI,2014,705068,3.535505284794842,2.543528981866793,2848928.0
DELHI,2015,666810,3.7599606732506716,2.705007678597606,2955749.0
DELHI,2016,1108814,4.229889452807687,3.0430859372717176,3744826.0
DELHI,2017,2166075,5.590740381975271,4.022115382716023,4304886.0
DELHI,2018,1506258,4.619625223028954,3.3234713834740677,3622848.0
DELHI,2019,969822,4.9377605783189065,3.5523457397977745,3273488.0
DELHI,2020,601850,3.714259089088527,2.672128841070883,3240754.0
DELHI,2021,816120,4.174365858217028,3.0031409051921067,3258459.0
DELHI,2022,339664,2.8304606848424223,2.0363026509657716,3000077.0
DELHI,2023,272636,2.2427156737064053,1.6134645134578456,3039128.0
DELHI,2024,75302,4.28281040450724,3.081158564393698,879119.0
GOA,2001,2200,0.2866643733516798,2.3888697779306654,767448.0
GOA,2002,2000,0.24277206858796482,2.0231005715663737,823818.0
GOA,2003,4000,0.4244783956414558,3.537319963678798,942333.0
GUJARAT,1996,3000,6.721032350569048,1.3469002706551196,44636.0
GUJARAT,1997,6000,3.43210159020707,0.6877959098611364,87410.0
GUJARAT,1998,325,0.30016162549064884,0.060152630358847464,108275.0
GUJARAT,1999,37300,2.247979229395131,0.45049683955814246,414817.0
GUJARAT,2000,61050,3.850046824893816,0.7715524699186004,528565.0
GUJARAT,2001,6000,0.7818119273227632,0.15667573693842948,767448.0
GUJARAT,2002,60608,1.8392411916224214,0.3685854091427698,823818.0
GUJARAT,2003,135935,2.885073535576065,0.5781710492136403,942333.0
GUJARAT,2004,40400,0.9588009861410539,0.192144486200612,1053399.0
GUJARAT,2005,205524,3.4501305356797523,0.6914089249859223,1489248.0
GUJARAT,2006,177185,2.880246694832185,0.5772037464593558,1230346.0
GUJARAT,2007,212225,1.8266771904848387,0.3660675732434547,2323618.0
GUJARAT,2008,688140,3.7084892683712334,0.7431842221184836,3092634.0
GUJARAT,2009,298740,2.474261641117766,0.4958440162560653,2414781.0
GUJARAT,2010,468576,3.861972017648286,0.773942288105869,3033269.0
GUJARAT,2011,437610,3.165717624151385,0.6344123495293357,2303901.0
GUJARAT,2012,45800,1.206427678085057,0.24176907376454043,1898166.0
GUJARAT,2013,332400,3.2460354228009964,0.6505081007617227,2560046.0
GUJARAT,2014,425540,2.9873692841658337,0.5986711992316299,2848928.0
GUJARAT,2015,482946,2.7232014626411107,0.5457317560403027,2955749.0
GUJARAT,2016,304458,2.710032455446528,0.54309267644219,3744826.0
GUJARAT,2017,417800,2.4263127989916575,0.48623502985804756,4304886.0
GUJARAT,2018,488432,3.3704974649778294,0.6754503937831321,3622848.0
GUJARAT,2019,730464,3.7190910734971383,0.7453088323641559,3273488.0
GUJARAT,2020,263904,2.0358225277204007,0.40798046647703423,3240754.0
GUJARAT,2021,282772,2.169522464453289,0.434774040972603,3258459.0
GUJARAT,2022,267436,2.228576133212581,0.44660844352957535,3000077.0
GUJARAT,2023,312852,2.573534250613992,0.5157383267763511,3039128.0
GUJARAT,2024,80478,4.577196033756522,0.917273754259824,879119.0
HARYANA,1997,5600,3.203294817526599,1.5326769461849756,87410.0
HARYANA,1998,4250,1.9625952435927037,0.9390407864079923,108275.0
HARYANA,1999,5250,0.42187277763447495,0.20185300365285883,414817.0
HARYANA,2000,2500,0.4729787254169307,0.22630561024733528,528565.0
HARYANA,2001,5700,0.7427213309566251,0.3553690578739833,767448.0
HARYANA,2002,4200,0.5098213440347261,0.24393365743288334,823818.0
HARYANA,2003,1900,0.2016272379296915,0.09647236264578542,942333.0
HARYANA,2004,2145,0.20362654606659014,0.09742896940985175,1053399.0
HARYANA,2005,38835,0.8692306452652614,0.41589983027046,1489248.0
HARYANA,2007,6330,0.27241999330354644,0.13034449440361073,2323618.0
HARYANA,2008,123080,0.9949447622964761,0.47605012550070624,3092634.0
HARYANA,2009,74328,1.0260143673484263,0.49091596523848147,2414781.0
HARYANA,2010,13865,0.45709760657561205,0.21870698879215889,3033269.0
HARYANA,2011,1765,0.07660919457910735,0.036655117023496345,2303901.0
HARYANA,2012,15150,0.7981388350650048,0.3818846100789497,1898166.0
HARYANA,2013,9058,0.35382176726511944,0.169292711610105,2560046.0
HARYANA,2015,9756,0.3300686222003289,0.1579275704307794,2955749.0
HARYANA,2016,21612,0.28855813327508406,0.1380660924761168,3744826.0
HARYANA,2017,23055,0.535554251610844,0.2562460534023177,4304886.0
HARYANA,2018,58190,0.8030974526118678,0.3842571543597454,3622848.0
HARYANA,2019,60040,0.9170646112037069,0.4387868953127785,3273488.0
HARYANA,2020,73140,1.1284410973495673,0.5399239700237164,3240754.0
HARYANA,2021,94668,1.4526498568802002,0.695047778411579,3258459.0
HARYANA,2022,87470,1.4577959165714747,0.6975100079289354,3000077.0
HARYANA,2023,18315,0.6026399677802317,0.28834448219149844,3039128.0
JAMMU AND KASHMIR,2003,8000,0.4244783956414558,0.4202756392489661,942333.0
JAMMU AND KASHMIR,2004,4000,0.37972316282814017,0.37596352755261403,1053399.0
JAMMU AND KASHMIR,2005,11800,0.3961731021293968,0.3922505961677196,1489248.0
JAMMU AND KASHMIR,2006,31200,0.8452906743306354,0.8369214597333025,1230346.0
JAMMU AND KASHMIR,2007,19200,0.41314880501011786,0.40905822278229487,2323618.0
JAMMU AND KASHMIR,2008,31216,0.5046830630459344,0.4996862010355786,3092634.0
JAMMU AND KASHMIR,2009,15940,0.6601012679824796,0.6535656118638412,2414781.0
JAMMU AND KASHMIR,2010,23970,0.7902365401815665,0.782412416021353,3033269.0
JAMMU AND KASHMIR,2011,11798,0.512087976002441,0.5070177980222188,2303901.0
JAMMU AND KASHMIR,2012,10946,0.5766618936383857,0.5709523699389958,1898166.0
JAMMU AND KASHMIR,2013,24065,0.9400221714766063,0.9307150212639665,2560046.0
JAMMU AND KASHMIR,2014,57672,2.0243403834705544,2.0042974093767865,2848928.0
JAMMU AND KASHMIR,2015,17738,0.60011861629658,0.5941768478183961,2955749.0
JAMMU AND KASHMIR,2016,346620,3.0853235904685556,3.054775832147085,3744826.0
JAMMU AND KASHMIR,2017,62980,1.4629887992388184,1.4485037616225924,4304886.0
JAMMU AND KASHMIR,2018,54737,1.5108831504937552,1.4959239113799556,3622848.0
JAMMU AND KASHMIR,2019,54435,1.6629051336067218,1.6464407263432888,3273488.0
JAMMU AND KASHMIR,2020,45785,1.4127885053910294,1.3988005003871578,3240754.0
JAMMU AND KASHMIR,2021,31252,0.9591036744669797,0.9496075984821581,3258459.0
JHARKHAND,1997,5524,3.159821530717309,1.1574437841455345,87410.0
JHARKHAND,1998,38788,8.95589933040868,3.2805492052779055,108275.0
JHARKHAND,1999,36240,2.9121275164711182,1.0667133759967466,414817.0
JHARKHAND,2000,133590,4.212348528563186,1.5429848089975038,528565.0
JHARKHAND,2001,28560,1.240474924685451,0.4543864192987,767448.0
JHARKHAND,2002,21915,0.8867249805175415,0.3248076851712606,823818.0
JHARKHAND,2003,12600,0.6685534731352929,0.24489138210083988,942333.0
JHARKHAND,2004,14746,0.6999247198829693,0.25638268127581293,1053399.0
JHARKHAND,2005,33537,0.7506473065600894,0.27496238335534406,1489248.0
JHARKHAND,2006,9700,0.39419805485611364,0.14439489188868632,1230346.0
JHARKHAND,2008,34762,0.5620128343670799,0.20586550709416848,3092634.0
JHARKHAND,2009,19270,0.3990009860107397,0.14615420732994128,2414781.0
JHARKHAND,2010,4000,0.131870928691125,0.04830436948392857,3033269.0
JHARKHAND,2011,3130,0.1358565320298051,0.049764297446815056,2303901.0
JHARKHAND,2014,5760,0.20218131170742118,0.07405908853751692,2848928.0
JHARKHAND,2015,10244,0.34657881978476524,0.12695194863910814,2955749.0
JHARKHAND,2016,7520,0.2008103981333178,0.0735569223931567,3744826.0
JHARKHAND,2017,53760,0.6244067787160914,0.22872043176413603,4304886.0
JHARKHAND,2018,52350,0.7224978801208332,0.2646512381394993,3622848.0
JHARKHAND,2019,6930,0.21170079132717148,0.07754607740922033,3273488.0
JHARKHAND,2020,7743,0.23892587959468692,0.08751863721417104,3240754.0
JHARKHAND,2021,13239,0.4062963505141541,0.14882650201983666,3258459.0
JHARKHAND,2022,88320,1.4719622196363626,0.5391803002330998,3000077.0
JHARKHAND,2023,12783,0.42061407087822555,0.15407108823378227,3039128.0
KARNATAKA,1994,11400,26.79830747531735,5.306595539666802,21270.0
KARNATAKA,1995,16050,18.00013458044546,3.5643830852367246,29722.0
KARNATAKA,1996,14700,10.977686172596112,2.17379924209824,44636.0
KARNATAKA,1997,21708,8.278229035579454,1.639253274372169,87410.0
KARNATAKA,1998,64200,9.882244285384438,1.9568800565117699,108275.0
KARNATAKA,1999,182868,7.347336295282016,1.4549180782736664,414817.0
KARNATAKA,2000,575976,9.080813145024736,1.7981808207969776,528565.0
KARNATAKA,2001,1018420,10.207857731077544,2.021357966550009,767448.0
KARNATAKA,2002,1260360,12.749175181896971,2.5245891449300935,823818.0
KARNATAKA,2003,985296,8.043016640614306,1.5926765624978823,942333.0
KARNATAKA,2004,811206,7.0007660914810055,1.3862903151447536,1053399.0
KARNATAKA,2005,2143141,11.069815101312876,2.1920425943193815,1489248.0
KARNATAKA,2006,1146123,8.468593387551143,1.676949185653692,1230346.0
KARNATAKA,2007,2808220,12.085549345890762,2.3931780882952003,2323618.0
KARNATAKA,2008,4376384,8.844370203522304,1.7513604363410504,3092634.0
KARNATAKA,2009,3540516,10.472750945116761,2.073812068339953,2414781.0
KARNATAKA,2010,4803915,10.558278873387096,2.090748291759821,3033269.0
KARNATAKA,2011,3810672,10.337553566754822,2.0470403102484798,2303901.0
KARNATAKA,2012,2275672,8.563423852286892,1.6957274955023547,1898166.0
KARNATAKA,2013,1884370,7.3606880501365985,1.4575619901260592,2560046.0
KARNATAKA,2014,1398824,6.137501544440575,1.2153468404832823,2848928.0
KARNATAKA,2015,1191753,4.47998121626701,0.8871249933202001,2955749.0
KARNATAKA,2016,2360028,5.729184747168493,1.134492029142276,3744826.0
KARNATAKA,2017,3602324,7.607263003015643,1.5063887134684442,4304886.0
