state,chapter,year,state_total_amount,total_amount,state_percentage,pop_adj_units
ANDHRA PRADESH,All Chapters,2008,2819960.0,3092634.0,8.289374041674508,2.02179854674988
ANDHRA PRADESH,Bangalore,2008,1875.0,9900.0,18.939393939393938,4.619364375461936
ANDHRA PRADESH,Boston,2008,28730.0,86763.0,33.11319341193827,8.076388637058114
ANDHRA PRADESH,CentralNJ,2008,7360.0,70743.0,10.403856211922028,2.537525905346836
ANDHRA PRADESH,Cincinnati,2008,3230.0,4410.0,73.24263038548753,17.864056191582325
ANDHRA PRADESH,Delaware,2008,1327.0,1327.0,100.0,24.390243902439025
ANDHRA PRADESH,Knoxville,2008,5032.0,7247.0,69.43562853594591,16.93551915510876
ANDHRA PRADESH,NYC/NJ,2008,53723.0,264984.0,20.27405428252272,4.944891288420176
ANDHRA PRADESH,San Francisco,2008,7500.0,17500.0,42.857142857142854,10.452961672473867
ANDHRA PRADESH,Seattle,2008,56835.0,997640.0,5.696944789703701,1.3894987291960248
ANDHRA PRADESH,Silicon Valley,2008,54153.0,679502.0,7.969512966849251,1.943783650451037
ANDHRA PRADESH,Work an Hour,2008,36595.0,195785.0,18.691421712592895,4.558883344534853
ANDHRA PRADESH,All Chapters,2009,2190492.0,2414781.0,7.559319043838759,1.8437363521557948
ANDHRA PRADESH,Bangalore,2009,6400.0,11441.0,55.939166156804475,13.643699062635239
ANDHRA PRADESH,Boston,2009,26450.0,100030.0,26.442067379786067,6.4492847267770905
ANDHRA PRADESH,CentralNJ,2009,7876.0,33268.0,23.674401827582063,5.774244348190748
ANDHRA PRADESH,Cincinnati,2009,4170.0,6301.0,66.17997143310586,16.141456447098992
ANDHRA PRADESH,DC,2009,9373.0,44958.0,20.848347346412208,5.084962767417612
ANDHRA PRADESH,Knoxville,2009,1250.0,3500.0,35.714285714285715,8.710801393728223
ANDHRA PRADESH,NYC/NJ,2009,30827.0,206104.0,14.957011993944805,3.6480517058401967
ANDHRA PRADESH,New River Valley,2009,2500.0,2500.0,100.0,24.390243902439025
ANDHRA PRADESH,Princeton,2009,4000.0,14525.0,27.538726333907054,6.716762520465136
ANDHRA PRADESH,San Francisco,2009,7325.0,17575.0,41.67852062588905,10.165492835582697
ANDHRA PRADESH,Seattle,2009,24530.0,571504.0,4.292183431787004,1.046874007752928
ANDHRA PRADESH,Silicon Valley,2009,57840.0,583271.0,9.916488219026833,2.4186556631772764
ANDHRA PRADESH,All Chapters,2010,3444557.0,3033269.0,6.679954860581109,1.6292572830685632
ANDHRA PRADESH,Bangalore,2010,3049.0,10125.0,30.11358024691358,7.344775669978922
ANDHRA PRADESH,Boston,2010,18550.0,86682.0,21.400059989386495,5.219526826679633
ANDHRA PRADESH,CentralNJ,2010,9850.0,45126.0,21.827771129725658,5.323846617006258
ANDHRA PRADESH,Chicago,2010,10000.0,67806.0,14.747957407899007,3.597062782414392
ANDHRA PRADESH,DC,2010,3500.0,23432.0,14.936838511437351,3.6431313442530127
ANDHRA PRADESH,Dallas,2010,1300.0,58662.0,2.216085370427193,0.5405086269334618
ANDHRA PRADESH,Hyderabad,2010,16560.0,16560.0,100.0,24.390243902439025
ANDHRA PRADESH,Kansas City,2010,11300.0,16127.0,70.06882867241272,17.089958212783593
ANDHRA PRADESH,Knoxville,2010,1250.0,4900.0,25.510204081632654,6.22200099552016
ANDHRA PRADESH,Minnesota,2010,3270.0,12271.0,26.64819493113846,6.499559739302064
ANDHRA PRADESH,NYC/NJ,2010,23694.0,347370.0,6.820968995595475,1.663650974535482
ANDHRA PRADESH,New River Valley,2010,2500.0,4700.0,53.191489361702125,12.973533990659057
ANDHRA PRADESH,Princeton,2010,4260.0,19215.0,22.170179547228727,5.407360865177739
ANDHRA PRADESH,Seattle,2010,31480.0,762054.0,4.130940851960623,1.0075465492586886
ANDHRA PRADESH,Silicon Valley,2010,54558.0,724499.0,7.530445176597897,1.8366939455116822
ANDHRA PRADESH,UFlorida,2010,5000.0,22000.0,22.727272727272727,5.543237250554324
ANDHRA PRADESH,Work an Hour,2010,2500.0,106505.0,2.3473076381390547,0.5725140580826963
ANDHRA PRADESH,All Chapters,2011,1139996.0,2303901.0,4.498283563399642,1.0971423325364982
ANDHRA PRADESH,Atlanta,2011,1600.0,34279.0,4.667580734560518,1.1384343255025655
ANDHRA PRADESH,Bangalore,2011,20493.0,26845.0,76.33823803315329,18.61908244711056
ANDHRA PRADESH,Boston,2011,18950.0,74191.0,25.542181666239838,6.229800406399961
ANDHRA PRADESH,Kansas City,2011,13300.0,18800.0,70.74468085106383,17.254800207576547
ANDHRA PRADESH,Knoxville,2011,2500.0,2500.0,100.0,24.390243902439025
ANDHRA PRADESH,Minnesota,2011,3270.0,15423.0,21.202100758607276,5.1712440874651895
ANDHRA PRADESH,NYC/NJ,2011,8257.0,173828.0,4.750097797823136,1.1585604384934478
ANDHRA PRADESH,New River Valley,2011,2450.0,2450.0,100.0,24.390243902439025
ANDHRA PRADESH,Princeton,2011,5048.0,22824.0,22.11706975113915,5.394407256375404
ANDHRA PRADESH,Seattle,2011,10450.0,598602.0,1.7457342274165473,0.42578883595525546
ANDHRA PRADESH,Silicon Valley,2011,17318.0,376515.0,4.599551146700662,1.1218417430977226
ANDHRA PRADESH,All Chapters,2012,1737744.0,1898166.0,7.629048249731583,1.8607434755442889
ANDHRA PRADESH,Bangalore,2012,6554.0,9109.0,71.95081787243386,17.548979968886307
ANDHRA PRADESH,Boston,2012,33800.0,104130.0,32.45942571785269,7.916933101915291
ANDHRA PRADESH,CentralNJ,2012,11520.0,30608.0,37.63721902770518,9.179809518952483
ANDHRA PRADESH,Cincinnati,2012,4000.0,4000.0,100.0,24.390243902439025
ANDHRA PRADESH,Kansas City,2012,8220.0,13145.0,62.53328261696463,15.25202015047918
ANDHRA PRADESH,Minnesota,2012,3461.0,24241.0,14.277463800998309,3.4823082441459294
ANDHRA PRADESH,NYC/NJ,2012,18760.0,62077.0,30.220532564395832,7.370861601072154
ANDHRA PRADESH,New River Valley,2012,2300.0,2300.0,100.0,24.390243902439025
ANDHRA PRADESH,Princeton,2012,5040.0,35832.0,14.06563965170797,3.430643817489749
ANDHRA PRADESH,Seattle,2012,25203.0,493911.0,5.102741182115806,1.2445710200282454
ANDHRA PRADESH,Silicon Valley,2012,20954.0,334293.0,6.268153984678111,1.5288180450434419
ANDHRA PRADESH,UFlorida,2012,5000.0,42380.0,11.798017932987257,2.877565349509087
ANDHRA PRADESH,All Chapters,2013,1976346.0,2560046.0,8.577736493797378,2.092130852145702
ANDHRA PRADESH,Bangalore,2013,27602.0,52967.0,52.111692185700534,12.710168825780618
ANDHRA PRADESH,Boston,2013,15940.0,63467.0,25.115414309798794,6.125710807267999
ANDHRA PRADESH,Hyderabad,2013,5594.0,10171.0,54.99950840625307,13.41451424542758
ANDHRA PRADESH,Kansas City,2013,16758.0,16758.0,100.0,24.390243902439025
ANDHRA PRADESH,Minnesota,2013,5101.0,19833.0,25.719759995966317,6.273112194138126
ANDHRA PRADESH,New River Valley,2013,3796.0,3796.0,100.0,24.390243902439025
ANDHRA PRADESH,Seattle,2013,47325.0,693996.0,6.819203568896651,1.6632203826577199
ANDHRA PRADESH,Silicon Valley,2013,25658.0,484051.0,5.300681126575506,1.2928490552623186
ANDHRA PRADESH,Toledo,2013,71820.0,89846.0,79.9367807136656,19.49677578382088
ANDHRA PRADESH,All Chapters,2014,1234384.0,2848928.0,5.416002089206887,1.320976119318753
ANDHRA PRADESH,Bangalore,2014,9567.0,13683.0,69.91887743915808,17.05338474125807
ANDHRA PRADESH,Boston,2014,18555.0,76614.0,24.218811183334637,5.907027117886497
ANDHRA PRADESH,Kansas City,2014,14632.0,26631.0,54.943486913747144,13.400850466767597
ANDHRA PRADESH,Minnesota,2014,6059.0,13228.0,45.80435439975809,11.171793756038559
ANDHRA PRADESH,NYC/NJ,2014,17473.0,202881.0,8.612437833015413,2.1005945934183936
ANDHRA PRADESH,San Francisco,2014,6731.0,98450.0,6.836973082783139,1.667554410434912
ANDHRA PRADESH,Seattle,2014,71841.0,854132.0,8.41099502184674,2.0514622004504246
ANDHRA PRADESH,Silicon Valley,2014,9440.0,440504.0,2.14299983655086,0.5226828869636244
ANDHRA PRADESH,All Chapters,2015,2848802.0,2955749.0,8.761975391009182,2.137067168538825
ANDHRA PRADESH,Bangalore,2015,39268.0,53568.0,73.30495818399044,17.879258093656205
ANDHRA PRADESH,Boston,2015,27479.0,134432.0,20.44081766246132,4.985565283527151
ANDHRA PRADESH,Kansas City,2015,8235.0,22931.0,35.91208407832192,8.759044897151687
ANDHRA PRADESH,London,2015,9665.0,24285.0,39.79822935968705,9.706885209679768
ANDHRA PRADESH,Minnesota,2015,52302.0,68034.0,76.8762677484787,18.750309206946024
ANDHRA PRADESH,NYC/NJ,2015,8680.0,215201.0,4.033438506326643,0.9837654893479618
